,lens,group_id,count
0,1,0,1590752
1590752,32,1,498608
2089360,64,2,318956
2408316,96,3,235187
2643503,128,4,190898
2834401,160,5,160581
2994982,192,6,129998
3124980,224,7,114251
3239231,256,8,102307
3341538,288,9,91276
3432814,320,10,80213
3513027,352,11,73673
3586700,384,12,64304
3651004,416,13,58445
3709449,448,14,54795
3764244,480,15,50984
3815228,512,16,45069
3860297,544,17,40624
3900921,576,18,38020
3938941,608,19,35251
3974192,640,20,32119
4006311,672,21,29889
4036200,704,22,29511
4065711,736,23,27044
4092755,768,24,24604
4117359,800,25,23048
4140407,832,26,21082
4161489,864,27,19473
4180962,896,28,18577
4199539,928,29,18351
4217890,960,30,17202
4235092,992,31,16111
4251203,1024,32,15438
4266641,1056,33,14600
4281241,1088,34,14338
4295579,1120,35,13906
4309485,1152,36,13445
4322930,1184,37,12368
4335298,1216,38,11954
4347252,1248,39,11431
4358683,1280,40,11229
4369912,1312,41,10540
4380452,1344,42,10097
4390549,1376,43,10660
4401209,1408,44,10756
4411965,1440,45,11335
4423300,1472,46,11640
4434940,1504,47,11109
4446049,1536,48,11013
4457062,1568,49,10860
4467922,1600,50,11975
4479897,1632,51,13853
4493750,1664,52,14761
4508511,1696,53,17192
4525703,1728,54,16910
4542613,1760,55,21191
4563804,1792,56,7314
